Age,Gender,Call to action,Post engagements,"CPM (cost per 1,000 impressions)",Cost per post engagement,Reach,Impressions,Frequency,Link clicks,CPC (cost per link click),CTR (link click-through rate)
18-24,female,GET_DIRECTIONS,3056,2.60707971,0.02083787,9014,24426,2.70978478,33,1.929713,0.13510194
18-24,female,GET_DIRECTIONS,1549,3.00689626,0.01661072,3404,8557,2.51380729,3,8.57667044,0.03505902
18-24,female,GET_DIRECTIONS,720,3.12715498,0.01598758,1534,3681,2.39960887,3,3.83701916,0.08149959
18-24,female,INSTAGRAM_MESSAGE,610,5.98762643,0.03813431,450,3885,8.63333333,17,1.36834875,0.43758044
18-24,female,BOOK_TRAVEL,525,5.78484072,0.041739,753,3788,5.03054449,20,1.09564883,0.5279831
18-24,female,INSTAGRAM_MESSAGE,258,5.87027996,0.03563123,254,1566,6.16535433,8,1.1491073,0.51085568
18-24,female,GET_DIRECTIONS,165,3.23980394,0.01725932,879,879,1,,,
18-24,female,LEARN_MORE,45,5.45851595,1.08782158,2110,8968,4.25023697,30,1.63173237,0.33452275
18-24,male,GET_DIRECTIONS,1927,2.56834974,0.02178899,7959,16348,2.05402689,9,4.66526462,0.05505261
18-24,male,GET_DIRECTIONS,1116,3.19802643,0.02243777,4603,7830,1.70106452,2,12.52027347,0.02554278
18-24,male,GET_DIRECTIONS,775,2.99969219,0.01339604,1998,3461,1.73223223,5,2.07638693,0.14446692
18-24,male,GET_DIRECTIONS,178,3.07969705,0.02318424,1303,1340,1.02839601,,,
18-24,male,BOOK_TRAVEL,22,6.13160023,0.0367896,55,132,2.4,2,0.40468562,1.51515152
18-24,male,INSTAGRAM_MESSAGE,5,7.49417806,0.02398137,8,16,2,,,
18-24,male,INSTAGRAM_MESSAGE,1,9.99223741,0.02997671,3,3,1,,,
18-24,male,LEARN_MORE,1,3.12830368,8.18364244,1718,2616,1.52270081,1,8.18364244,0.0382263
18-24,unknown,GET_DIRECTIONS,52,2.86429562,0.02517275,160,457,2.85625,,,
18-24,unknown,GET_DIRECTIONS,29,3.4049981,0.03686791,314,314,1,,,
